,annotatable_entities,annotated_entities,coverage,consistent_entities,consistency,specificity
BIOMD0000000670.xml,5,1,0.2,,0.0,
BIOMD0000000843.xml,27,7,0.26,7,1.0,1.0
BIOMD0000000857.xml,32,25,0.78,25,1.0,0.99
BIOMD0000000328.xml,51,51,1.0,50,0.98,0.67
BIOMD0000000300.xml,28,27,0.96,26,0.96,0.72
BIOMD0000000466.xml,66,29,0.44,26,0.9,0.95
BIOMD0000000472.xml,942,942,1.0,939,1.0,0.82
BIOMD0000000314.xml,26,26,1.0,25,0.96,0.97
BIOMD0000000499.xml,28,24,0.86,22,0.92,0.99
BIOMD0000000248.xml,17,17,1.0,17,1.0,0.86
BIOMD0000000274.xml,5,5,1.0,5,1.0,0.5
BIOMD0000000512.xml,120,36,0.3,33,0.92,0.97
BIOMD0000000506.xml,116,57,0.49,57,1.0,0.68
BIOMD0000000260.xml,49,48,0.98,48,1.0,0.75
BIOMD0000000738.xml,42,28,0.67,28,1.0,0.71
BIOMD0000000710.xml,25,10,0.4,10,1.0,0.98
BIOMD0000000076.xml,7,7,1.0,7,1.0,0.93
BIOMD0000000062.xml,11,8,0.73,7,0.88,0.89
BIOMD0000000704.xml,52,15,0.29,15,1.0,0.58
BIOMD0000000937.xml,11,3,0.27,3,1.0,1.0
BIOMD0000000089.xml,54,54,1.0,48,0.89,0.77
BIOMD0000000923.xml,10,,0.0,,,
BIOMD0000000922.xml,8,,0.0,,,
BIOMD0000000936.xml,5,1,0.2,1,1.0,1.0
BIOMD0000000088.xml,219,156,0.71,150,0.96,0.9
BIOMD0000000063.xml,20,16,0.8,14,0.88,0.89
BIOMD0000000705.xml,110,59,0.54,59,1.0,0.75
BIOMD0000000711.xml,39,10,0.26,10,1.0,0.81
BIOMD0000000077.xml,15,9,0.6,8,0.89,0.65
BIOMD0000000739.xml,49,1,0.02,1,1.0,1.0
BIOMD0000000507.xml,9,9,1.0,9,1.0,0.91
BIOMD0000000261.xml,49,48,0.98,48,1.0,0.75
BIOMD0000000275.xml,16,16,1.0,16,1.0,0.91
BIOMD0000000513.xml,56,32,0.57,31,0.97,0.92
BIOMD0000000249.xml,31,31,1.0,23,0.74,0.17
BIOMD0000000498.xml,68,66,0.97,66,1.0,0.98
BIOMD0000000473.xml,1014,1014,1.0,1011,1.0,0.82
BIOMD0000000315.xml,49,49,1.0,49,1.0,0.85
BIOMD0000000301.xml,25,24,0.96,23,0.96,0.9
